Acurácia do modelo: inceptionV3-11600
0.5567180616740088
             precision    recall  f1-score   support

      angry       0.26      0.33      0.29      1650
  disgusted       0.00      0.00      0.00      1226
    fearful       0.26      0.06      0.10      1410
      happy       0.68      0.94      0.79      6971
        sad       0.21      0.15      0.17      2174
  surprised       0.88      0.64      0.74      3155
    neutral       0.39      0.48      0.43      3390

avg / total       0.51      0.56      0.52     19976



Acurácia do modelo: inceptionV3-14200
0.5828494193031638
             precision    recall  f1-score   support

      angry       0.32      0.44      0.37      1650
  disgusted       0.00      0.00      0.00      1226
    fearful       0.21      0.22      0.22      1410
      happy       0.91      0.82      0.86      6971
        sad       0.24      0.15      0.19      2174
  surprised       0.67      0.83      0.74      3155
    neutral       0.42      0.57      0.48      3390

avg / total       0.56      0.58      0.57     19976



Acurácia do modelo: inceptionV3-15625
0.6047757308770525
             precision    recall  f1-score   support

      angry       0.46      0.29      0.35      1650
  disgusted       0.46      0.03      0.06      1226
    fearful       0.28      0.18      0.22      1410
      happy       0.87      0.87      0.87      6971
        sad       0.25      0.21      0.23      2174
  surprised       0.71      0.81      0.76      3155
    neutral       0.40      0.67      0.50      3390

avg / total       0.60      0.60      0.58     19976



Acurácia do modelo: inceptionV3-16000
0.6161894273127754
             precision    recall  f1-score   support

      angry       0.38      0.46      0.42      1650
  disgusted       0.27      0.05      0.09      1226
    fearful       0.31      0.29      0.30      1410
      happy       0.88      0.86      0.87      6971
        sad       0.29      0.35      0.31      2174
  surprised       0.81      0.76      0.79      3155
    neutral       0.48      0.56      0.52      3390

avg / total       0.62      0.62      0.61     19976



Acurácia do modelo: inceptionV3-16600
0.6197937525030036
             precision    recall  f1-score   support

      angry       0.58      0.22      0.32      1650
  disgusted       0.36      0.13      0.20      1226
    fearful       0.40      0.13      0.20      1410
      happy       0.83      0.89      0.86      6971
        sad       0.30      0.22      0.26      2174
  surprised       0.79      0.78      0.79      3155
    neutral       0.41      0.74      0.52      3390

avg / total       0.61      0.62      0.59     19976



Acurácia do modelo: inceptionV3-19800
0.6479775730877052
             precision    recall  f1-score   support

      angry       0.51      0.39      0.44      1650
  disgusted       0.44      0.45      0.44      1226
    fearful       0.36      0.24      0.29      1410
      happy       0.89      0.87      0.88      6971
        sad       0.34      0.46      0.39      2174
  surprised       0.90      0.68      0.78      3155
    neutral       0.50      0.64      0.56      3390

avg / total       0.67      0.65      0.65     19976



Acurácia do modelo: inceptionV3-20200
0.644173007609131
             precision    recall  f1-score   support

      angry       0.52      0.34      0.41      1650
  disgusted       0.62      0.30      0.40      1226
    fearful       0.31      0.27      0.29      1410
      happy       0.90      0.85      0.87      6971
        sad       0.35      0.32      0.33      2174
  surprised       0.74      0.84      0.79      3155
    neutral       0.47      0.67      0.55      3390

avg / total       0.65      0.64      0.64     19976



Acurácia do modelo: inceptionV3-21000
0.6585402482979575
             precision    recall  f1-score   support

      angry       0.54      0.34      0.42      1650
  disgusted       0.57      0.30      0.39      1226
    fearful       0.36      0.29      0.32      1410
      happy       0.89      0.88      0.88      6971
        sad       0.35      0.45      0.39      2174
  surprised       0.78      0.82      0.80      3155
    neutral       0.52      0.63      0.57      3390

avg / total       0.66      0.66      0.65     19976



Acurácia do modelo: inceptionV3-21600
0.6585402482979575
             precision    recall  f1-score   support

      angry       0.43      0.55      0.48      1650
  disgusted       0.47      0.51      0.49      1226
