Acurácia do modelo: resnet-7200
0.7266720064076893
             precision    recall  f1-score   support

      angry       0.67      0.56      0.61      1650
  disgusted       0.66      0.58      0.62      1226
    fearful       0.54      0.33      0.41      1410
      happy       0.89      0.88      0.88      6971
        sad       0.83      0.42      0.56      2174
  surprised       0.64      0.92      0.75      3155
    neutral       0.61      0.73      0.66      3390

avg / total       0.74      0.73      0.72     19976



Acurácia do modelo: resnet-7800
0.7071986383660392
             precision    recall  f1-score   support

      angry       0.72      0.54      0.62      1650
  disgusted       0.74      0.62      0.67      1226
    fearful       0.50      0.48      0.49      1410
      happy       0.84      0.93      0.88      6971
        sad       0.40      0.86      0.55      2174
  surprised       0.88      0.72      0.79      3155
    neutral       0.84      0.35      0.49      3390

avg / total       0.76      0.71      0.70     19976



Acurácia do modelo: resnet-8600
0.7538045654785743
             precision    recall  f1-score   support

      angry       0.64      0.65      0.64      1650
  disgusted       0.73      0.63      0.68      1226
    fearful       0.46      0.52      0.49      1410
      happy       0.93      0.85      0.89      6971
        sad       0.73      0.58      0.65      2174
  surprised       0.84      0.83      0.84      3155
    neutral       0.60      0.79      0.68      3390

avg / total       0.77      0.75      0.76     19976



Acurácia do modelo: resnet-9600
0.7272727272727273
             precision    recall  f1-score   support

      angry       0.37      0.87      0.52      1650
  disgusted       0.70      0.65      0.67      1226
    fearful       0.58      0.47      0.52      1410
      happy       0.91      0.87      0.89      6971
        sad       0.71      0.53      0.61      2174
  surprised       0.82      0.82      0.82      3155
    neutral       0.77      0.55      0.64      3390

avg / total       0.77      0.73      0.74     19976



Acurácia do modelo: resnet-10625
0.7501501802162596
             precision    recall  f1-score   support

      angry       0.80      0.51      0.62      1650
  disgusted       0.84      0.54      0.66      1226
    fearful       0.63      0.34      0.44      1410
      happy       0.89      0.90      0.89      6971
        sad       0.51      0.78      0.61      2174
  surprised       0.75      0.88      0.81      3155
    neutral       0.69      0.66      0.68      3390

avg / total       0.76      0.75      0.74     19976



Acurácia do modelo: resnet-11250
0.757058470164197
             precision    recall  f1-score   support

      angry       0.69      0.57      0.62      1650
  disgusted       0.79      0.66      0.72      1226
    fearful       0.45      0.50      0.47      1410
      happy       0.90      0.89      0.90      6971
        sad       0.60      0.65      0.63      2174
  surprised       0.82      0.86      0.84      3155
    neutral       0.67      0.68      0.68      3390

avg / total       0.76      0.76      0.76     19976



Acurácia do modelo: resnet-14200
0.7409391269523428
             precision    recall  f1-score   support

      angry       0.74      0.55      0.63      1650
  disgusted       0.86      0.52      0.65      1226
    fearful       0.56      0.48      0.52      1410
      happy       0.83      0.92      0.87      6971
        sad       0.61      0.69      0.65      2174
  surprised       0.68      0.90      0.77      3155
    neutral       0.74      0.55      0.63      3390

avg / total       0.74      0.74      0.73     19976



